FeatureID,FeatureName,Cluster 3 Average,Log2 Fold Change,P-Value
ENSG00000132514,CLEC10A,0.20543951170797464,4.765141087609267,3.310715835545306e-51
ENSG00000198223,CSF2RA,0.501787797,4.190720964519776,1.5241922513349149e-50
ENSG00000127951,FGL2,0.2906217482698178,4.120135296,1.5987288534812452e-45
ENSG00000160307,S100B,0.19398643788453357,5.103665693027324,4.355473845266075e-44
ENSG00000012779,ALOX5,0.7408707129538459,3.724258433,8.180793795593968e-43
ENSG00000179639,FCER1A,0.094487859,5.6684204296654075,1.505743463483134e-42
ENSG00000110077,MS4A6A,0.3113804445748048,3.889469222611468,5.53607753595735e-42
ENSG00000183023,SLC8A1,0.28489521135809726,3.9278525988190047,6.672805180785273e-42
ENSG00000140678,ITGAX,1.3099453185560752,3.7373085522954312,4.0541565100556984e-41
ENSG00000160593,JAML,0.35504528852667394,3.760311170005073,7.608735427715079e-40
ENSG00000179583,CIITA,1.3264091121772719,3.4974453044056104,8.46782326950911e-39
ENSG00000101336,HCK,0.11739400669027122,4.161836950898602,4.2888850229168555e-37
ENSG00000214787,MS4A4E,0.04724393,5.679227185,6.013721493639731e-37
ENSG00000000938,FGR,0.17179610735161643,3.870675501781625,1.1474667837394667e-36
ENSG00000066336,SPI1,0.7895462767034706,3.4699433583364265,1.6717786611924282e-36
ENSG00000163751,CPA3,0.17537519292144177,5.4852631716120595,8.355671959761194e-35
ENSG00000172243,CLEC7A,0.19684970634039384,3.6598862533556966,5.780802824305553e-34
ENSG00000143226,FCGR2A,0.1932706207705685,3.659663125787367,3.195912831054571e-33
ENSG00000119535,CSF3R,0.14674250836283903,3.977710426460073,5.413673151295209e-33
ENSG00000151650,VENTX,0.078024065,4.566678683071558,3.073514922847777e-32
ENSG00000010327,STAB1,0.5654955200324041,3.495165612767849,3.279352211389753e-32
ENSG00000135549,PKIB,0.051538832,4.802962553044234,9.751878119867452e-32
ENSG00000164485,IL22RA2,0.03722249,6.493061542172466,1.5556403703033329e-31
ENSG00000128815,WDFY4,0.17537519292144177,3.727833474886138,2.2760697222621077e-31
ENSG00000258227,CLEC5A,0.1503215939326644,4.156319390675559,2.769033457571543e-31
ENSG00000126759,CFP,0.062991906,4.480062182,6.854937969585239e-31
ENSG00000184730,APOBR,0.31639116437256026,3.3953120994919805,7.9885621304692e-31
ENSG00000107551,RASSF4,0.2526834412296692,3.460157133795337,1.1621865608749251e-30
ENSG00000182578,CSF1R,0.33500240933565206,3.3409046514839593,3.4264666980457194e-30
ENSG00000140287,HDC,0.1388685201092233,5.184844398183106,1.1568084798781208e-29
ENSG00000082397,EPB41L3,0.14030015433715343,3.5627644716490976,1.242829198544708e-29
ENSG00000171051,FPR1,0.094487859,3.892316441592243,1.5772267105551212e-29
ENSG00000166927,MS4A7,0.29348501672567806,3.415936848902802,2.632847072037296e-29
ENSG00000104043,ATP8B4,0.072297529,4.359563917579489,2.632847072037296e-29
ENSG00000196209,SIRPB2,0.10952001843665547,3.758909133897753,3.338472503195206e-29
ENSG00000204482,LST1,0.10952001843665547,3.7261191987800832,4.3741754980414847e-29
ENSG00000106066,CPVL,0.095203676,3.935066089,6.055652069795788e-29
ENSG00000186407,CD300E,0.083034785,4.2355752003040354,1.749987778879129e-28
ENSG00000149534,MS4A2,0.085898054,5.394497707688878,1.6358892362441116e-27
ENSG00000100368,CSF2RB,0.25339925834363425,3.2697501913633937,1.9124728734912844e-27
ENSG00000137462,TLR2,0.26628396639500546,3.261352051111512,7.773244912045846e-27
ENSG00000122025,FLT3,0.045812295293764384,4.433871946023022,2.13607564713238e-26
ENSG00000104951,IL4I1,0.12168890937406164,3.5074285529931024,3.918003924486071e-26
ENSG00000187037,GPR141,0.04724393,4.328729937537856,5.878593510953123e-26
ENSG00000146192,FGD2,0.16893283889575617,3.276914878062202,6.233298907379143e-26
ENSG00000166527,CLEC4D,0.046528112,4.553195453707935,4.456951159358859e-25
ENSG00000184305,CCSER1,0.065139357,4.0156845492598645,5.961951642514746e-25
ENSG00000187474,FPR3,0.11238328689251575,3.5246013195625596,6.3297586252493795e-25
