FeatureID,FeatureName,Cluster 1 Average,Log2 Fold Change,P-Value
ENSG00000277734,TRAC,0.46364500127268243,3.855718460605159,4.274641883050971e-40
ENSG00000163599,CTLA4,0.18083748331425928,4.252228853729489,5.688240153437885e-37
ENSG00000156127,BATF,0.2947571313932861,4.034181473503869,5.688240153437885e-37
ENSG00000186827,TNFRSF4,0.22465273257542342,4.543037463760984,9.51349313532611e-37
ENSG00000186891,TNFRSF18,0.21987288720147827,4.270046599780143,7.692435230199771e-36
ENSG00000181847,TIGIT,0.28041759527145055,3.8515368786420225,7.692435230199771e-36
ENSG00000107742,SPOCK2,0.3704380164807514,3.7056172410318227,7.692435230199771e-36
ENSG00000211772,TRBC2,0.48674758724675077,3.619804850444555,1.1831757886032517e-34
ENSG00000211751,TRBC1,0.4357625699246689,3.6307969838596286,5.643992974585678e-34
ENSG00000198851,CD3E,0.18880389227083458,3.7939643575417734,4.6897537410890054e-32
ENSG00000178562,CD28,0.18561732868820446,3.809312321875209,6.166080864725476e-32
ENSG00000100385,IL2RB,0.14817520659230057,3.9522264414585058,6.320755754572909e-32
ENSG00000116824,CD2,0.2453653958625192,3.6629228348936858,7.208967508394754e-32
ENSG00000115085,ZAP70,0.3417589442370803,3.540950099231313,8.342949226808282e-32
ENSG00000183813,CCR4,0.12825918420086233,4.098818939070194,1.5098156561407574e-31
ENSG00000113263,ITK,0.26448477735829995,3.5386180918267636,5.509774339091839e-30
ENSG00000173762,CD7,0.16809122898373882,3.7823452742749404,5.509774339091839e-30
ENSG00000049768,FOXP3,0.11073308449639666,4.1837078366567075,2.3650014367128888e-29
ENSG00000013725,CD6,0.28121423616710806,3.4243174318506413,1.0251911244681287e-27
ENSG00000182866,LCK,0.15295505196624573,3.6414274268877125,1.8873479818833517e-27
ENSG00000183918,SH2D1A,0.11152972539205419,3.795426795620259,1.6862474847223216e-25
ENSG00000174946,GPR171,0.1171062116616569,3.7384166963681964,1.9573340253730167e-25
ENSG00000153283,CD96,0.21429640093187555,3.345911801034966,1.9732671824923734e-25
ENSG00000178199,ZC3H12D,0.24138219138423156,3.332725982198845,4.381218786425627e-25
ENSG00000163600,ICOS,0.082054012,4.112758130028068,4.391764536134614e-25
ENSG00000134954,ETS1,0.4771878964988604,3.1108917713707687,6.292747885371926e-25
ENSG00000213809,KLRK1,0.20314342839267013,3.4370408412982063,6.292747885371926e-25
ENSG00000168685,IL7R,0.8866613168668308,3.0255956019879777,9.45754257687446e-25
ENSG00000185811,IKZF1,0.9408328977715429,2.9710013311297265,3.9041390759708076e-24
ENSG00000010810,FYN,0.30750338572380653,3.069299852150139,8.921748934440077e-23
ENSG00000078596,ITM2A,0.12108941613994455,3.4553399737820976,1.580401392697716e-22
ENSG00000111728,ST8SIA1,0.20951655555793036,3.2124757208657613,2.3620744675911846e-22
ENSG00000172575,RASGRP1,0.12666590240954725,3.3708984845069945,3.914320829625514e-22
ENSG00000153563,CD8A,0.16968451077505387,3.2818652122026766,6.0448371815836625e-22
