FeatureID,FeatureName,Cluster 5 Average,Log2 Fold Change,P-Value
ENSG00000154175,ABI3BP,0.24641701340730476,3.9674337611911477,1.911653460789404e-37
ENSG00000111341,MGP,0.7275863295280774,3.419717962,2.2607950885941202e-32
ENSG00000140285,FGF7,0.18007397133610734,3.7474430432815513,3.636236091143897e-30
ENSG00000164949,GEM,0.23110708062164384,3.452687449575108,3.014904522081516e-28
ENSG00000172724,CCL19,0.28724350083573397,4.664068073795673,3.014904522081516e-28
ENSG00000134853,PDGFRA,0.22090045876453654,3.2453149631184868,2.951262275724655e-24
ENSG00000187479,C11orf96,0.645933355,3.0685863452005853,4.61672574105246e-24
ENSG00000109610,SOD3,0.10935666275472106,3.4804772849548824,1.7860299631660088e-23
ENSG00000253276,CCDC71L,0.6925921974465666,3.0907727775464506,2.3739952088972683e-23
ENSG00000064692,SNCAIP,0.1552864611117039,3.2411143474669553,1.1054588234563312e-22
ENSG00000125730,C3,0.725399196,3.0512684287458818,3.1415118449622496e-22
ENSG00000116132,PRRX1,0.28943063409082836,2.913295827697419,3.754681344422322e-21
ENSG00000144857,BOC,0.11883424019346354,3.2279665980352195,3.754681344422322e-21
ENSG00000054938,CHRDL2,0.072175397,3.9205273969284944,3.754681344422322e-21
ENSG00000149633,KIAA1755,0.10060812973434337,3.3272253048970275,3.754681344422322e-21
ENSG00000087116,ADAMTS2,0.22381663643799576,2.956162675817625,3.239943704468494e-20
ENSG00000091136,LAMB1,0.3696255201109572,2.783184302976924,1.084141273340127e-19
ENSG00000163359,COL6A3,1.888954087983215,2.683948090403864,2.1779078901773724e-19
ENSG00000011465,DCN,0.32952807710089277,2.802120515582085,2.2680299543344137e-19
ENSG00000182326,C1S,0.4636722500800173,2.704674109099966,4.546413895709607e-19
ENSG00000186340,THBS2,0.6853017532629186,2.737934838653503,5.616857112635623e-19
ENSG00000106624,AEBP1,0.9076603008641848,2.6964754194131304,5.616857112635623e-19
ENSG00000145506,NKD2,0.2376684803869271,3.1141947360046096,1.756040385727282e-18
