FeatureID,FeatureName,Cluster 12 Average,Log2 Fold Change,P-Value
ENSG00000145423,SFRP2,0.9204915310528056,5.219532463794037,6.286730744673579e-93
ENSG00000123500,COL10A1,0.13011550241706324,6.038255896245083,1.2203151450086787e-79
ENSG00000149591,TAGLN,1.707841617771872,4.486750619586623,5.015325253864639e-75
ENSG00000137573,SULF1,0.5065426768515439,4.559943763268812,8.690595459843878e-74
ENSG00000099953,MMP11,1.744758109155318,4.873772332,4.195419893256156e-72
ENSG00000175084,DES,0.40608140521790437,5.260648317581532,3.584665145921042e-68
ENSG00000133110,POSTN,0.4617587364847407,4.702367859512881,1.973042735066581e-67
ENSG00000101335,MYL9,0.9598287759695922,4.296544974272304,5.588589616163411e-67
ENSG00000164692,COL1A2,8.346758182958773,4.073222867,1.1841528085637783e-65
ENSG00000107796,ACTA2,0.728041625,4.377924033103765,1.5166633648737318e-63
ENSG00000115414,FN1,7.231395992472041,4.099522971828059,3.6014069224318516e-63
ENSG00000168542,COL3A1,16.062910070482292,3.990659909869237,6.91775566237081e-63
ENSG00000139329,LUM,0.5228827632015937,4.179576706934213,6.91775566237081e-63
ENSG00000113140,SPARC,3.1463744049595896,4.032717712703654,1.1611335238033169e-62
ENSG00000108821,COL1A1,21.442429609948686,3.888622167,1.368703814675646e-59
ENSG00000060718,COL11A1,0.077464113,5.8289320771560575,2.530500573328071e-58
ENSG00000117152,RGS4,0.076253736,5.806389508504969,1.484086535267603e-57
ENSG00000144810,COL8A1,0.14161408170043163,4.586418478763289,1.2686701970448508e-55
ENSG00000166923,GREM1,0.31106682903428146,4.3398185310151405,2.317160491907383e-55
ENSG00000130176,CNN1,0.16158529835049248,4.633250550539978,6.278910566644271e-52
ENSG00000163017,ACTG2,0.16037492158382213,5.521514886732615,1.1754694338389201e-51
ENSG00000182492,BGN,1.1813277242702673,3.7734813020924256,2.3629750955343978e-51
ENSG00000129009,ISLR,0.25115317908409884,4.009803320755653,1.135784676144112e-49
ENSG00000106624,AEBP1,1.289656444887264,3.689283420261098,1.3243944182866744e-49
ENSG00000204262,COL5A2,0.5162256909849068,3.7202911189815406,4.09969965827828e-48
ENSG00000087245,MMP2,1.1480423631868324,3.6848361332063884,5.854371052863146e-48
ENSG00000164932,CTHRC1,0.37642717443448065,3.6943315696577756,9.093083705588682e-47
ENSG00000106538,RARRES2,0.21968338315066957,3.8171582428132567,1.3837527474195825e-43
ENSG00000163359,COL6A3,2.4703789807741963,3.442280978589646,3.74261249061025e-43
ENSG00000182667,NTM,0.068991476,4.820736149663659,7.18294175386165e-43
ENSG00000105664,COMP,0.17792538470054228,4.505217529762654,1.8310947850857298e-42
ENSG00000149968,MMP3,0.3092512638842759,5.934218830459229,8.32970581971078e-42
ENSG00000180447,GAS1,0.15129709583379447,3.8658696572864883,1.5926940012602202e-41
ENSG00000198467,TPM2,1.9880438392560593,3.4072466847629377,2.1226810898661097e-41
ENSG00000140807,NKD1,0.1343518211004095,3.9452042562643683,3.785925754123697e-41
ENSG00000154096,THY1,0.18458245691722924,3.7334013147166627,4.183743980613031e-41
ENSG00000162576,MXRA8,0.2729399608841652,3.6316786346212835,6.538764322008599e-41
ENSG00000111799,COL12A1,0.35161445071773834,3.563644953,8.245450910346968e-40
ENSG00000225614,ZNF469,0.12224805343370593,3.8980782381968235,8.28084077998283e-39
ENSG00000162849,KIF26B,0.10046127163363953,4.004107673833239,3.9386521082573425e-38
ENSG00000130508,PXDN,0.20576405033396047,3.5815191056858513,2.3556885553266097e-37
ENSG00000065534,MYLK,0.22452489,3.5318500442867244,4.237139000666682e-37
ENSG00000170801,HTRA3,0.1670319938005091,4.001525423518132,9.145080527404184e-37
ENSG00000035862,TIMP2,1.0530277870032094,3.2558913803006106,9.74238647040839e-37
ENSG00000157613,CREB3L1,0.087752316,4.045331413325206,1.126350965760066e-36
ENSG00000140937,CDH11,0.25296874423410437,3.473602914329766,1.2475094007072684e-36
ENSG00000038427,VCAN,1.2987342706372917,3.258969398457003,3.487576234777253e-36
ENSG00000151388,ADAMTS12,0.092593823,4.059829308193436,7.453119864897786e-36
ENSG00000143387,CTSK,0.2590206280674561,3.4120910322893407,9.854865907419379e-36
ENSG00000138080,EMILIN1,0.2735451492675004,3.367196096297818,4.0638639756539253e-35
ENSG00000145506,NKD2,0.2850437285508688,3.7639129998721113,1.4286710327381737e-34
ENSG00000186340,THBS2,0.8055057382191217,3.234087491310397,2.492370268925299e-34
ENSG00000116132,PRRX1,0.3225654083176498,3.3101169938458312,2.517271489139491e-34
ENSG00000122786,CALD1,1.150463116720173,3.179893825816465,3.3701536022568222e-34
ENSG00000182326,C1S,0.5446695450016601,3.1918610942866357,3.898079910354044e-34
ENSG00000011465,DCN,0.38187386988449723,3.275562991592815,8.668504351969743e-34
ENSG00000163520,FBLN2,0.1694527473338498,3.4264078446072497,2.1747558983069975e-33
ENSG00000134443,GRP,0.10348721355031541,5.1712132339995875,6.726929476101537e-33
ENSG00000118523,CCN2,0.33224842245101266,3.540568885947319,3.2574451418756674e-32
ENSG00000137809,ITGA11,0.1809513266172182,3.404658620273051,1.3881322456136381e-31
ENSG00000163453,IGFBP7,0.6687331635853716,3.130396623817303,1.6177256543288451e-31
ENSG00000166033,HTRA1,0.37884792796782135,3.1178206120166405,2.6079280746128467e-31
ENSG00000166741,NNMT,0.21181593416731226,3.191433822850243,2.6434757737037277e-30
ENSG00000165617,DACT1,0.060518838,4.0119692047248074,3.394458846264073e-30
ENSG00000078098,FAP,0.13556219786707985,3.339719889,5.671819150731758e-30
ENSG00000253276,CCDC71L,0.673574671,3.173337844186949,1.0043293241321779e-29
ENSG00000138316,ADAMTS14,0.074438171,3.722991531638732,1.9782137016327572e-29
ENSG00000091136,LAMB1,0.3933724491678656,3.044919626526095,3.1063367221833014e-29
ENSG00000197380,DACT3,0.075648548,3.746075144751773,4.2914949376672354e-29
ENSG00000211448,DIO2,0.23602346950071937,3.228718891408552,6.131990894511884e-29
ENSG00000134013,LOXL2,0.1773201963172071,3.2315019719220155,1.1744878277208685e-28
ENSG00000142173,COL6A2,1.5081294512712633,2.902376648173657,1.9070039269972233e-28
ENSG00000054356,PTPRN,0.035100926,4.750973944164612,8.701723197798886e-28
ENSG00000113657,DPYSL3,0.19547584781726246,3.188987332454085,9.671337744840311e-28
ENSG00000104415,CCN4,0.22452489,3.132695586614535,1.6233618637387333e-27
ENSG00000162614,NEXN,0.052046200966825294,4.052540122251332,4.225743038556027e-27
ENSG00000143333,RGS16,0.13374663271707432,3.420253134,9.177803949710458e-27
ENSG00000105989,WNT2,0.045389129,4.0907233161392185,1.6228498722768634e-26
ENSG00000142552,RCN3,0.17550463116720158,3.0403821973534724,2.4182092641901907e-26
ENSG00000089472,HEPH,0.060518838,3.6900411098374457,4.607896320085495e-26
ENSG00000163430,FSTL1,0.21121074578397708,2.9544694200472223,1.124788396774232e-25
ENSG00000137673,MMP7,0.1561386029004759,3.670126291518475,1.6032303837003736e-25
ENSG00000133392,MYH11,0.1313258791837336,3.3458380586767755,2.0021919118226118e-25
ENSG00000106483,SFRP4,0.42000073803461346,2.9095406642937127,4.1951522008087e-25
ENSG00000123989,CHPF,0.4024502749178933,2.787107099528799,8.238886204283238e-25
ENSG00000148848,ADAM12,0.1282999372670577,3.205824293,8.238886204283238e-25
ENSG00000203805,PLPP4,0.042968375,3.9876298231751157,1.2068373164932154e-24
ENSG00000187479,C11orf96,0.5634303848850506,2.8924135350597355,1.5173404919661315e-24
ENSG00000130635,COL5A1,1.2019041293036632,2.739519157461494,2.092636464582296e-24
ENSG00000111341,MGP,0.5301450238016159,2.8282373592916503,2.4482299492087473e-24
ENSG00000177469,CAVIN1,0.2850437285508688,2.808459438825373,3.455004171468011e-24
ENSG00000163431,LMOD1,0.08230562,3.686255058570563,6.49949193232133e-24
ENSG00000149131,SERPING1,0.19184471751725138,2.877433101910024,7.714988380257221e-24
ENSG00000134668,SPOCD1,0.12224805343370593,3.1561463911372676,1.3127137963855743e-23
ENSG00000168734,PKIG,0.1942654710505921,2.913845554,1.399012331623582e-23
ENSG00000171617,ENC1,0.207579615,2.937043644886786,1.7217639233794724e-23
ENSG00000136859,ANGPTL2,0.078069301,3.2971741936066454,3.1506339812637067e-23
ENSG00000124212,PTGIS,0.066570722,3.372069600249955,3.953238889797464e-23
ENSG00000087303,NID2,0.056887708,3.490653923027855,4.1433429826901594e-23
ENSG00000142156,COL6A1,1.2442673161371258,2.6617263945406617,8.426117285755801e-23
ENSG00000127377,CRYGN,0.044783940366803165,3.7345795059139446,8.430212294972378e-23
ENSG00000249992,TMEM158,0.076253736,3.2131593918002124,1.1163292988785145e-22
ENSG00000120820,GLT8D2,0.099250895,3.1471902677982473,1.1265163998381618e-22
ENSG00000166250,CLMP,0.11195985091700791,3.1273817867180678,2.4432432948254874e-22
ENSG00000149257,SERPINH1,0.4103177239012506,2.6714425930930368,3.830349677625492e-22
ENSG00000110811,P3H3,0.060518838,3.4031599620492843,4.133553031643331e-22
ENSG00000137124,ALDH1B1,0.10772353223366166,2.974626251216348,4.563883450531416e-22
ENSG00000087116,ADAMTS2,0.20213292003394942,2.854249736576561,5.308218662074094e-22
ENSG00000112210,RAB23,0.095014576,3.084648801729535,8.607698063597392e-22
ENSG00000134871,COL4A2,1.453057308387762,2.6348269572372254,9.111243800506056e-22
ENSG00000071282,LMCD1,0.15734897966714625,2.9587579759307148,9.9460174544808e-22
ENSG00000198832,SELENOM,0.1313258791837336,2.8778161034662104,1.1295223381437435e-21
ENSG00000169604,ANTXR1,0.29351636591756125,2.7581479770523494,1.479480129921377e-21
ENSG00000141756,FKBP10,0.16642680541717392,2.8184259889764576,1.488534089901484e-21
ENSG00000174099,MSRB3,0.06354478,3.3375170809658026,1.6221102510118006e-21
ENSG00000179954,SSC5D,0.070201852,3.3268820159816186,3.9383458568890424e-21
ENSG00000166147,FBN1,0.4847558950514775,2.656920240512117,4.1117581770762455e-21
ENSG00000162733,DDR2,0.11317022768367827,3.121750211759844,6.047709955646612e-21
ENSG00000122176,FMOD,0.060518838,3.391382794,1.0649371501529353e-20
ENSG00000122691,TWIST1,0.080490055,3.0206758186109632,1.4124085638953162e-20
ENSG00000213949,ITGA1,0.13858813978375573,2.852290883538504,1.893685180516386e-20
ENSG00000109610,SOD3,0.086541939,3.077426493525762,2.448918595357435e-20
ENSG00000187498,COL4A1,0.7292520019188894,2.6119196059019205,2.4541582633620862e-20
ENSG00000158747,NBL1,0.5265138935016047,2.5565183521198453,3.812526062960386e-20
ENSG00000198796,ALPK2,0.030259419166758894,4.026183063944508,4.302835046019949e-20
ENSG00000159403,C1R,0.3122772058009518,2.5969491462554575,4.6608900445685367e-20
ENSG00000159674,SPON2,0.40184508653455814,2.677856915902003,6.670618969010859e-20
ENSG00000176170,SPHK1,0.37400642090113995,2.5593124598744565,7.247575311960474e-20
ENSG00000133026,MYH10,0.11317022768367827,2.8422573831928784,7.871481843942634e-20
ENSG00000154553,PDLIM3,0.048415071,3.8456108183026885,9.039253758816533e-20
ENSG00000197614,MFAP5,0.050835824,3.781296004820974,1.0502575465546454e-19
ENSG00000157227,MMP14,1.0627108011365725,2.514270695722783,1.5446664698045645e-19
ENSG00000157214,STEAP2,0.087752316,2.9288724367378225,2.0894884045554142e-19
ENSG00000117069,ST6GALNAC5,0.028443854,4.012720804137945,3.4783445850525285e-19
ENSG00000102359,SRPX2,0.17610981955053676,2.673217561269626,3.564654378491029e-19
ENSG00000131459,GFPT2,0.079279678,3.0127208041379463,4.858071587824214e-19
ENSG00000244486,SCARF2,0.1228532418170411,2.816729698315559,5.062700316507586e-19
ENSG00000178860,MSC,0.038126868150116205,3.505760815418064,9.31395049078987e-19
ENSG00000117122,MFAP2,0.081095243,2.8698583645493656,1.1515121334568692e-18
ENSG00000124875,CXCL6,0.029654230783423715,3.8601103879978025,1.211349681550524e-18
ENSG00000050165,DKK3,0.20636923871729565,2.6178049007798756,1.299321929343056e-18
ENSG00000189120,SP6,0.033890549,3.625932781663276,1.893894029986172e-18
ENSG00000196611,MMP1,0.18942396398391068,3.7035200250571014,2.8022950321776566e-18
ENSG00000188707,ZBED6CL,0.13253625595040397,2.8497152166354245,2.983821290868538e-18
ENSG00000134853,PDGFRA,0.16279567511716284,2.6918054822236526,3.143480847230953e-18
ENSG00000129038,LOXL1,0.19063434075058103,2.5344517191690557,4.59712633252937e-18
ENSG00000104635,SLC39A14,0.075648548,2.966465213177074,5.683439239317874e-18
ENSG00000172638,EFEMP2,0.083515997,2.840430579197008,5.815626157780708e-18
